Name,Car Spaces,Bedrooms,Bathrooms,Floor area (m2),Land Size(m2),Waterfront,Location,Price
3 Bedroom Townhouse located along SRP Road,1,3,3,120,64,0,Talisay,6000000
House for Sale - Good Location,,5,1,400,370,0,Talisay,12000000
Fully Fenced House & Lot with Carports near Casili Barangay Hall,2,4,3,400,300,0,Consolacion,7000000
Overlooking House and Lot with swimming pool for sale in Talamban Cebu City,6,5,4,400,300,1,Cebu,26000000
Brand New House In Cebu City,,3,3,160,119,0,Cebu,13151000
Semi Furnished 5 Bedroom with 2 Maid's Room House and Lot,2,7,7,350,244,1,Cebu,25000000
Land Size Exclusive/Luxury Fully Furnished House & Lot in 1st Class Subdivision.,2,6,4,270,300,1,Consolacion,22500000
"4BR House & Lot For Sale in Lapu-Lapu, Cebu",,4,4,360,462,1,Lapu-Lapu,48000000
7 Bedroom Family House in Cebu City for sale,,10,10,720,433,0,Cebu,23000000
2 Storey Single Attached for Sale,,3,2,132,100,0,Talisay,6898000
Beautiful Single House in Villas Magallanes Mactan,2,5,4,150,180,0,Lapu-Lapu,8500000
Furnished 4 bedrooms house and lot for sale in Banawa Cebu City,,4,3,117,68,0,Cebu,9000000
4 Bedrooms House and Lot For Sale in Looc Lapu Lapu City Cebu,2,4,3,173,144,0,Lapu-Lapu,8543145
Beautiful Peaceful Place in canduman,2,5,5,100,200,0,Cebu,7500000
"House and lot for sale in Cebu City, Ma. Luisa 4-level, 7-BR",4,7,6,600,778,0,Mandaue,60000000
5BR Brand new House and Lot for Sale in Maria Luisa Subdivision !,,5,5,1200,600,1,Cebu,90000000
Ready For Occupancy Single Attached House and Lot In Mandaue City!!!,2,4,3,123,121,0,Mandaue,8200000
5 Bedrooms House and Lot for Sale in Bankal Lapu Lapu City Cebu,4,5,5,260,450,0,Lapu-Lapu,14000000
Brand new smart home House and Lot For Sale in Mandaue City Cebu,2,4,4,265,192,0,Mandaue,17000000
Eastland Estate Ready for Occupancy House and Lot,2,4,3,166,315,0,Liloan,8750000
"6BR/4BATH Overlooking view, House and lot. 594sqm",2,6,4,594,594,0,Liloan,22000000
"House and Lot For Sale at Liloan, Cebu",2,3,3,150,170,0,Liloan,8000000
"Ready for occupancy house and lot in Liloan,Cebu",,4,2,71,100,1,Liloan,4298340
4 Bedroom House and Lot for Sale in Banilad Cebu City,2,4,3,250,400,1,Mandaue,28000000
"Beach house in Pinamungahan Cebu with lot area of 2,776sqm P19Million",2,5,5,400,2776,0,Toledo,19000000
3 Bedroom Single Detached Home in Banawa,3,3,2,125,187,0,Cebu,13000000
"4 bedrooms, 3 Toilet and baths and 1 carport for sale",,4,3,84,120,0,Lapu-Lapu,5500000
"Townhouse & Lot for Sale at Can-asujan, Carcar Cebu",,2,1,25,40,0, Carcar,1034000
"House & Lot in Botanika Residence Townhouse & Single detached for Sale
",2,3,2,200,200,0,Cebu,10800000
"Ready For Occupancy, Brand New, Modern House for Sale in Mandaue City, Cebu",,5,5,430,275,0,Mandaue,20000000
"3 Bedrooms Brand New House & Lot in Talamban
",,3,2,180,120,0,Cebu,8900000
Brand New House With 4 Bedrooms And 2 Parking In Maria Luisa,2,4,3,211.06,243,0,Mandaue,25500000
"For Sale House and Lot in Lahug - 2 units left
",2,3,2,122.27,103,0,Cebu,6000000
"A Masterpiece Indeed, house and lot for sale
",,4,4,600,1077,1,Cebu ,
4 Bedrooms Single Detached House And Lot,,4,3,132,188,0,Lapu-Lapu ,6998160
"Townhouse For Sale at Cebu, Cebu",3,3,2,200,241,0,Cebu,7000000
Spacious 4Br House and Lot For Sale in Banawa Cebu City,2,4,4,148,112,,Cebu,16344000
Lahug 2 storey 3 bedrooms house and lot near IT Park P7.9M lower price,5,3,2,100,199,0,Cebu,7900000
Beautiful and Overlooking 3 Bedroom House and Lot in Carcar,,3,3,442,283,0,Carcar,10500000
Ready For Occupancy Single Detached House and Lot For Sale Lapu Lapu City Cebu,2,4,4,160,150,0,Lapu-Lapu,8500000
"House for sale, Bayswater Subdivision Orchidia Model (Agus Road, Marigondon)",1,4,3,182,173,0,Lapu-Lapu,10260617
Spacious house for sale in Casuntingan Mandaue City Cebu,6,6,6,532,654,1,Mandaue,28000000
House & Lot for sale @ Futura Homes Mactan,1,1,1,32,88,0,Lapu-Lapu,1809500
Bria Homes Danao - Bettina Townhouse Select,,2,1,44,36,0,Danao,1519000
2-Storey House for Sale located in Labangon Cebu City,,1,3,2,204,0,Cebu,12000000
6BR Luxury House and Lot With Swimming pool For Sale in Lapu Lapu City Cebu,2,6,7,420,485,1,Lapu Lapu,30000000
Safe-Modern 4-Bedroom including Maid's Quarter Home 10 mins from SM Seaside,1,3,4,250,265,1,Cebu,15000000
3BR Ready For Occupancy House and Lot For Sale in Liloan Cebu,1,3,2,75,54,0,Cebu,3823389
"4 Bedroom Brand New House in Tayud, Liloan Cebu",,4,3,181,90,1,Cebu,6500000
"Beach Single House Detached 1-Storey | Argao, Cebu",,3,2,94,267,0,Argao,7078000
2 bedroom- Single detached houses and lot- overlooking Sea/ mountain views,,2,1,45,120,0,Compostela,4000000
"4 Bedroom with toilet and bath, 1 maids quarter with own bathroom",1,4,4,361,374,0,Cebu,35000000
Overlooking 5 Bedroom House for Sale in Maria Luisa Estate Park,6,5,5,550,739,0,Cebu,80000000
Modern House Pool 5BR for Sale Maria Luisa Banilad,4,4,5,530,450,0,Cebu,53000000
4BR Customize house for sale Marryville Talamban Cebu City,2,4,3,200,177,0,Cebu,15000000
"MSG-17-1798 Foreclosed property for Sale in Lapu-Lapu, Cebu",,,,81,109,0,Lapu Lapu,3120000
3 Bedrooms Brand New House & Lot in Talamban,,3,2,180,120,0,Cebu,8900000
"American Inspired Beachfront House, Esperanza, Poro",,3,2,137.02,1958,0,Cebu,12400000
Brand New 5 Bedroom House for Sale in Maria Luisa Park Phase 1,6,5,5,659,498,0,Cebu,78000000
"House for sale in Monte Carlo Subdivision, Vito, Minglanilla, Cebu",1,3,2,98,120,0,Cebu,5500000
For Sale 5 bedrooom Lombardy Single Detached House type in Guadalupe,4,5,4,500,332,0,Cebu,35000000
"House and Lot For Sale at Lapu-Lapu, Cebu in Modena Mactan",,4,2,84,107,0,Lapu Lapu,4141000
Brand New 4-BR Single Detached House For Sale in Cebu City,2,4,3,163,156,0,Cebu,14500000
Affordable Ready for Occupancy House & Lot for Big Families in Cebu City Phils.!,4,5,5,328,200.5,0,Cebu,17500000
Land Size 4 Bedroom Townhouse for sale in Guadalupe Cebu City,1,4,3,128,190,0,Cebu,7500000
For Sale Ready for Occupancy Brand-New 4 Bedroom House & Lot in Consolacion Cebu,,4,3,183.4,154,0,Consolacion,11800000
"House for sale, St. Francis Hills - Giovanni / 4BR (Single Detached)",1,4,3,95,142,0,Consolacion,5729760
Two Storey Single Detached House with 4 bedrooms,,4,3,93,135,0,Consolacion,6112500
3 Bedrooms Ready for occupancy house and lot for sale in Consolacion Cebu,1,3,3,83,82,0,Consolacion,5589157
5 bedrooms House and Lot For Sale in Guadalupe Cebu City,2,5,3,155,138,0,Cebu,12500000
Elegant 360 Overlooking House in Monterrazas De Cebu,1,6,6,756,370,1,Cebu,50000000
House and Lot for Sale in Salinas Dr. Ext. Lahug Cebu City,2,7,6,500,951,0,Cebu,50000000
House & Lot in Botanika Residence Townhouse & Single detached for Sale,2,3,2,200,200,0,Cebu,10800000
"House and Lot for Sale at Lapu-Lapu, Cebu in Modena Mactan",1,4,2,360,360,0,Cebu,5500000
"House for Sale in White Sands, Maribago Mactan, Cebu",1,5,4,500,316,,Lapu Lapu,16000000
Land Size house & lot 2 bedroom,,2,3,120,82,,Mandaue,4000000
FINISHED UNIT 2 BEDROOMS ACCESSIBLE TO 3RD BRIDGE,,2,1,54,40,1,Lapu-Lapu,2732000
3 bedrooms single attached house with 2 toilet and bath and 1 car garage,1,3,2,46,80,0,Toledo,1863857
Own a house in booming Carcar City where one of the Cebus promising location,1,2,1,36,42,0,Carcar,1350000
"House and Lot, 4 bedroom for sale",,4,3,87,51,0,Liloan,3071000
"House for Sale in Kishanta Talisay, Cebu (near SRP Sea View-Mountain Breeze)",,3,2,72,157,1,Talisay,4800000
"For Sale Ready for Occupancy, 4-Bedroom House & Lot in Tayud Consolacion Cebu",1,4,3,140,99,0,Consolacion,5000000
Elegant and Spacious 4 Bedroom Mactan House and Lot with Pool,1,4,4,171,420,1,Lapu-Lapu,13000000
Duplex furnished House and Lot For Sale,,3,2,80,80,0,Lapu-Lapu,4700000
Rent to Own 2 storey Duplex hse with 3 Bedrooms in Mactan P40K MONTHLY,1,3,2,73,85,0,Lapu-Lapu,8800000
House and Lot For Sale in San Remigio,1,2,2,250,307,0,San Remigio,3500000
For Sale overlooking Single Detached House & Lot,1,3,3,200,156,1,Talisay,13000000
Affordable Pre-owned House & Lot at Banilad Cebu City!,2,4,4,188,100,0,Cebu,7800000
Bungalow House For Sale at Greenhills Mandaue,1,6,6,532.44,654,1,Mandaue,28000000
"House and lot at the back of SM Consolacion, Cebu. only a few mins. to Mandaue",1,3,2,74,75,0,Consolacion,3190000
"Townhouse For Sale at Lapu-Lapu, Cebu in Villa Mamerta",1,3,3,90,35,0,Lapu-Lapu,1850000
House & Lot/Dormitory Business For Sale,1,14,6,240,240,0,Lapu-Lapu,6000000
Brand New Four Bedroom House and Lot For sale in Pacific Grand Villas,1,4,4,120,143,1,Lapu-Lapu,7500000
Affordable Ready for Occupancy Townhouse for Sale in Lapu-Lapu Cebu,,3,1,45,40,0,Lapu-Lapu,2032949
House and Lot in Lapu-lapu City - Single Detached,2,3,2,100,200,0,Lapu-Lapu,4300000
3Br House and Lot For Sale in Lapu Lapu City Cebu,2,3,2,91,66,0,Lapu-Lapu,3900000
"3 bedroom house and lot in pajac, lapulapu city for sale at 2.8m",1,3,2,140,162,0,Lapu-Lapu,2800000
"4 Bedrooms Fully Furnished House and Lot at Collinwood Subdivision, Lapu-lapu",2,4,2,84,177,0,Lapu-Lapu,5700000
3-bedroom Single Detached House and Lot in Danao City for sale,1,3,2,77,80,0,Danao,3111250
House and lot for sale in Talamban Classy Village,1,4,4,360,193,1,Talamban,12000000
Modern 4 Bedroom Duplex House 4 Sale,2,3,2,120,98,0,Mandaue,4800000
Townhouse for Sale at Holy Family Village 2,2,3,3,86,86,0,Cebu,10000000
"3-bedroom Twinhomes for sale at Park Place Babag 2, Lapu lapu City",1,3,2,70,80,0,Lapu-Lapu,2207000
2 Storey Single Detached with Balcony-Ready For Occupancy,2,4,3,120,180,1,Minglanilla,8876690
RFO 2 Storey Single Attached with 4 Bedrooms,1,4,2,108,117,1,Lapu-Lapu,5228440
"Ready for Occupancy, 2-Storey Single-Attached Unit- Beachfront Community in Naga",1,3,2,68,89,1,Naga,4970326
Arianna (2-Storey Townhouse Unit),0,2,1,43,35,0,Naga,2650000
4 Bedroom House & Lot,1,4,4,135,213,1,Consolacion,50000
Ready For Occupancy House at Minglanilla Tulay.,2,5,4,210,190,0,Minglanilla,8876690
3 bedroom townhouse for sale in calajoan minglanilla cebu,1,3,2,67,54,1,Minglanilla,3276000
Beachfront Community-Ready for Occupancy (RFO) unit 2-Storey Townhouse,0,2,1,43,35,1,Naga,2618157
"4 Bedrooms, 2 Storey House with 2 T&B, 1 Garage, Service Area",1,4,2,108,117,1,Lapu-Lapu,5228440
Lexie Duplex Model House at Eastland Eastate 11 For Sale!,1,3,2,63,73,0,Liloan,
2 bedrooms House and lot for Sale in Carcar Cebu,1,2,1,42,36,0,Carcar,1350000
Php23M Brandnew 5 Bedroom House Direct Sale from Owner Kishanta Subdivision,4,5,6,380,300,1,Talisay,23000000
3 beedroom for sale in tayud CONSOLACION cebu,0,3,3,93,135,1,Consolacion,7450500
2 bedroom townhouse with 2 carport garage,2,2,2,136,70,1,Cebu,8900000
Ready for Occupancy Row House For Sale,1,1,1,26,48,0,Balamban,619682
"Beautiful exclusive pocket subdivision in Poblacion, Lilo-An, Cebu",1,3,2,61,59,0,Cebu,4200000
"Two storey House and Lot for sale in tulay, minglanilla cebu",1,4,3,284,103,1,Minglanilla,5242410
1BEDROOM for sale in can-asujan carcar cebu at verry affordable price,1,1,1,25,35,1,Carcar,
Beautiful Corner Unit Duplex inside a pocket subdivision in Poblacion Lilo-an,1,4,2,114,72,1,Cebu,5500000
2bedroom 2 storey townhouse for sale in dapdap carcar cebu,1,2,2,36,42,1,Carcar,1350000
"Well Maintained Fully Furnish Home in Labangon, Cebu City",3,4,4,376,237,0,Cebu,28000000
